CMPD_CHEMBLID	MOLWEIGHT	ALOGP	PSA	CANONICAL_SMILES	STANDARD_TYPE	STANDARD_VALUE	STANDARD_UNITS
CHEMBL3673478	508.5	5.07	93.01	COc1cc(Cn2c(N)nc3cc(cnc23)c4cnn(C)c4)ccc1OCc5ccc(cc5)C(F)(F)F	IC50	0.2	nM
CHEMBL3673489	558.51	5.7	93.01	COc1cc(Cn2c(N)nc3cc(cnc23)c4cnn(C)c4)ccc1OCc5ccc(cc5)C(F)(F)C(F)(F)F	IC50	0.3	nM
CHEMBL3673476	471.52	3.45	115.13	COc1ccc(COc2ccc(Cn3c(N)nc4cc(cnc34)c5cnn(C)c5)cc2OC)cn1	IC50	0.6	nM
CHEMBL3675941	373.36	2.64	71.76	CONC(=O)c1cnn2ccc(nc12)N3CCC[C@@H]3c4cc(F)ccc4F	IC50	0.6	nM
CHEMBL3671130	420.42	4	75.42	Fc1ccc(F)c(c1)[C@H]2CCCN2c3ccn4ncc(C(=O)Nc5ccccn5)c4n3	IC50	0.7	nM
CHEMBL3904952	454.51	3.22	108.37	COc1ncc(F)cc1[C@H]2CCCN2c3ccn4ncc(C(=NC5CCC(O)CC5)O)c4n3	IC50	0.9	nM
CHEMBL3899159	576.97	7.91	118.54	Nc1ncc(Cl)cc1c2ccc(Oc3ccc(cn3)N=C(O)Nc4cc(ccc4c5cccnc5)C(F)(F)F)cc2	IC50	1	nM
CHEMBL3671136	415.44	2.85	82.76	CC(C)(CO)NC(=O)c1cnn2ccc(nc12)N3CCC[C@@H]3c4cc(F)ccc4F	IC50	1.1	nM
CHEMBL3916880	455.51	4.35	86.25	CC1(O)CCC(CC1)N=C(O)c2cnn3ccc(nc23)N4CCC[C@@H]4c5cc(F)ccc5F	IC50	1.18	nM
CHEMBL94678	467.48	3.66	94.72	COC(=O)[C@]1(O)C[C@H]2O[C@]1(C)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35	IC50	1.2	nM
CHEMBL3671154	417.42	1.43	102.99	OC[C@H](O)CNC(=O)c1cnn2ccc(nc12)N3CCC[C@@H]3c4cc(F)ccc4F	IC50	1.3	nM
CHEMBL3671157	417.42	1.43	102.99	OC[C@@H](O)CNC(=O)c1cnn2ccc(nc12)N3CCC[C@@H]3c4cc(F)ccc4F	IC50	1.3	nM
CHEMBL3676025	440.48	2.26	104.88	COc1ncc(F)cc1[C@H]2CCCN2c3ccn4ncc(C(=O)N[C@H]5CC[C@H](O)C5)c4n3	IC50	1.3	nM
CHEMBL3675923	505.55	1.75	125.93	NS(=O)(=O)N1CCC(CC1)NC(=O)c2cnn3ccc(nc23)N4CCCC4c5cc(F)ccc5F	IC50	1.4	nM
CHEMBL3894182	576.42	5.94	132.04	OC(=NCC1=CC(=N)NC=C1)c2cc(NC(=O)c3cc(c(Cl)cc3Cl)c4ccc(F)cn4)n(n2)c5ccccc5	IC50	1.43	nM
CHEMBL3298265	477.54	5.27	71.24	Cc1cn2cc(CNc3ncnc4ccc(nc34)N5CCC[C@@H]5c6cc(F)ccc6F)nc2s1	IC50	1.5	nM
CHEMBL3671414	473.54	3.15	116.82	COCC(C)(C)n1cc(C(=O)c2cncc(NC(=O)Cn3ccc(n3)C4CC4)c2)c5cncnc15	IC50	1.51	nM
CHEMBL3676074	455.49	1.83	112.22	OCC(O)COc1cc(F)cc(c1)[C@H]2CCCN2c3ccn4ncc(C(=O)NC5CC5)c4n3	IC50	1.7	nM
CHEMBL3675937	444.46	2.78	74.56	F[C@H]1CNCC[C@H]1NC(=O)c2cnn3ccc(nc23)N4CCC[C@@H]4c5cc(F)ccc5F	IC50	1.95	nM
CHEMBL3673486	468.52	4.12	110.2	COc1ccc(COc2ccc(Cn3c(N)nc4cc(cnc34)c5ccncc5)cc2OC)cn1	IC50	2	nM
CHEMBL3943636	601.38	7.08	136.36	Nc1ncc(Cl)cc1c2ccc(Oc3ncc(cn3)N=C(O)Nc4cc(Cl)ccc4n5ccc(n5)C(F)(F)F)cc2	IC50	2	nM
CHEMBL3671145	415.44	2.85	82.76	CC(C)(O)CNC(=O)c1cnn2ccc(nc12)N3CCC[C@@H]3c4cc(F)ccc4F	IC50	2.15	nM
CHEMBL3957798	451.44	2.7	97.42	CN1N=C(C=CC1=O)C(=O)Nc2cnc3ccc(nn23)N4CCC[C@H]4c5cc(F)ccc5F	IC50	2.3	nM
CHEMBL3676032	449.45	2.55	117.51	COc1ncc(F)cc1[C@H]2CCCN2c3ccn4ncc(C(=O)NC5=CNC(=O)C=C5)c4n3	IC50	3	nM
CHEMBL3676032	449.45	2.55	117.51	COc1ncc(F)cc1[C@H]2CCCN2c3ccn4ncc(C(=O)NC5=CNC(=O)C=C5)c4n3	IC50	3	nM
CHEMBL3639583	381.42	3.64	93.54	CCOc1cc(n[nH]1)n2cnc3ccc(N[C@@H](CC)c4ccc(F)cn4)nc23	IC50	3	nM
CHEMBL1774056	355.35	3.57	102.31	C[C@H](Nc1nc(Nc2cc(C)[nH]n2)c(F)cc1C#N)c3ccc(F)cn3	IC50	3	nM
CHEMBL3582439	359.41	4.27	46.32	Fc1cccc(c1)[C@H]2CCCN2c3ccc4ncc(c5ccccn5)n4n3	IC50	3	nM
